Index;Номер устройства;SIM Card Number;Компания;Принадлежность транспорта;;;;;
134;021000092440;79835735053;Кодекс;Kazachinskoe;;;;;
143;021000460381;79835735066;Стэлс;Н676РЕ124;;;;;
152;0370430;79835735100;СПЕЦСИБТРАНС ООО;Kamaz_С244РМ_124;;;;;
131;021000060368;79131709935;ООО СТО 2000;Mitsubishi_Х649РР124;;;;;
172;318000020673;79135075086;Кодекс;Zheleznogorsk-2;;;;;
124;018270085413;79135104612;ООО ТСК (Сибтехрегион);Экск_XE370CA_v3468;;;;;
190;621000100673;79135804778;Кодекс;Kuznecovo;;;;;
7;0020294;79138337714;Кодекс;Leninsk-Kuzneckij;;;;;
183;518000190244;79293326245;Колымавзрывпром;KIA_А345АС;;;;;
182;418000190182;79293326253;Колымавзрывпром;Бур_ДМ-45;;;;;
169;18000270013;79293326254;Колымавзрывпром;Volvo_В464ЕУ;;;;;
197;621000151266;799833607103;ООО СибТрансСервис;Shacman_У143РР_124;;;;;
2;000013;;ФСИН;;;;;;
122;018270084846;;ООО СибТрансСервис;Ремзона;;;;;
135;021000150452;;M2M-TelematicsSiberia;ТестЧерн;;;;;
171;2725;;M2M-TelematicsSiberia;Видео-бокс;;;;;
186;601221067;;ВЧ-Групп;;;;;;
